"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 위원회 조직","0.0","0.01","1.4","2","H"
"ESG 비교과 프로그램 개발 및 운영,ESG 관련 학생 동아리","0.0","0.01","1.4","2","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직,청정 재생에너지,폐기물 배출,ESG 운영위원회의 다양성","0.0","0.01","0.4","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,부패예방 및 청렴 강화","0.01","0.0","5.0","5","H"
"탄소배출량,ESG 관련 캠페인","0.01","0.0","5.0","5","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 위원회 조직,청정 재생에너지,에너지 사용 절감 및 체계적 관리,폐기물 배출,ESG 운영위원회의 다양성","0.0","0.01","0.4","1","H"
"ESG 운영위원회의 다양성,ESG 위원회 조직","0.01","0.0","3.0","3","H"
"부패예방 및 청렴 강화,인권침해 예방 및 인권보장","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 위원회 조직","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 위원회 조직","0.01","0.0","7.0","7","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성","0.01","0.0","3.0","3","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.01","0.4","1","H"
"ESG 위원회 조직,지역사회 ESG 파트너십,ESG 관련 캠페인","0.01","0.0","3.0","3","H"
"부패예방 및 청렴 강화,ESG 위원회 조직","0.01","0.0","8.0","8","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,회계의 투명성 관리","0.01","0.0","4.0","4","H"
"ESG 관련 캠페인,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램","0.01","0.0","6.0","6","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화","0.01","0.0","8.0","8","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램","0.0","0.01","0.4","1","H"
"부패예방 및 청렴 강화,지역사회 ESG 파트너십","0.01","0.0","4.0","4","H"
"지역사회 ESG 교육 프로그램,청정 재생에너지,에너지 사용 절감 및 체계적 관리","0.01","0.0","4.0","4","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,폐기물 배출","0.01","0.0","3.0","3","H"
"작업장의 건강 및 안전,유해 폐기물관리","0.01","0.0","6.0","6","H"
"ESG 위원회 조직,ESG 관련 캠페인","0.01","0.0","4.0","4","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 관련 캠페인","0.01","0.0","3.0","3","H"
"에너지 사용 절감 및 체계적 관리,ESG 운영위원회의 다양성","0.0","0.01","1.4","2","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,청정 재생에너지,지역사회 ESG 교육 프로그램,에너지 사용 절감 및 체계적 관리,탄소배출량,ESG 위원회 조직,폐기물 배출","0.0","0.01","0.4","1","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,청정 재생에너지,에너지 사용 절감 및 체계적 관리,폐기물 배출","0.0","0.01","0.3","1","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 비교과 프로그램 개발 및 운영,탄소배출량","0.01","0.0","3.0","3","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성","0.0","0.01","0.4","1","H"
"ESG 위원회 조직,지역사회 ESG 파트너십,부패예방 및 청렴 강화","0.01","0.0","3.0","3","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 위원회 조직,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.01","0.4","1","H"
"ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리","0.01","0.0","4.0","4","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직,ESG 운영위원회의 다양성,청정 재생에너지","0.0","0.01","0.4","1","H"
